,n_estimators,max_depth,min_samples_split,min_samples_leaf,validation_accuracy
0,100,10,5,5,0.3161993769470405
1,100,10,5,10,0.3629283489096573
2,100,10,5,15,0.37616822429906543
3,100,10,10,5,0.3161993769470405
4,100,10,10,10,0.3629283489096573
5,100,10,10,15,0.37616822429906543
6,100,10,15,5,0.3115264797507788
7,100,10,15,10,0.3629283489096573
8,100,10,15,15,0.37616822429906543
9,100,15,5,5,0.31230529595015577
10,100,15,5,10,0.3613707165109034
11,100,15,5,15,0.3613707165109034
12,100,15,10,5,0.31230529595015577
13,100,15,10,10,0.3613707165109034
14,100,15,10,15,0.3613707165109034
15,100,15,15,5,0.3107476635514019
16,100,15,15,10,0.3613707165109034
17,100,15,15,15,0.3613707165109034
18,100,20,5,5,0.26635514018691586
19,100,20,5,10,0.35514018691588783
20,100,20,5,15,0.3652647975077882
21,100,20,10,5,0.26635514018691586
22,100,20,10,10,0.35514018691588783
23,100,20,10,15,0.3652647975077882
24,100,20,15,5,0.3107476635514019
25,100,20,15,10,0.35514018691588783
26,100,20,15,15,0.3652647975077882
27,100,25,5,5,0.29283489096573206
28,100,25,5,10,0.3364485981308411
29,100,25,5,15,0.3637071651090343
30,100,25,10,5,0.29283489096573206
31,100,25,10,10,0.3364485981308411
32,100,25,10,15,0.3637071651090343
33,100,25,15,5,0.3317757009345794
34,100,25,15,10,0.3364485981308411
35,100,25,15,15,0.3637071651090343
36,300,10,5,5,0.3442367601246106
37,300,10,5,10,0.3707165109034268
38,300,10,5,15,0.38161993769470404
39,300,10,10,5,0.3442367601246106
40,300,10,10,10,0.3707165109034268
41,300,10,10,15,0.38161993769470404
42,300,10,15,5,0.34968847352024923
43,300,10,15,10,0.3707165109034268
44,300,10,15,15,0.38161993769470404
45,300,15,5,5,0.3263239875389408
46,300,15,5,10,0.3590342679127726
47,300,15,5,15,0.37461059190031154
48,300,15,10,5,0.3263239875389408
49,300,15,10,10,0.3590342679127726
50,300,15,10,15,0.37461059190031154
51,300,15,15,5,0.32710280373831774
52,300,15,15,10,0.3590342679127726
53,300,15,15,15,0.37461059190031154
54,300,20,5,5,0.3060747663551402
55,300,20,5,10,0.3574766355140187
56,300,20,5,15,0.3792834890965732
57,300,20,10,5,0.3060747663551402
58,300,20,10,10,0.3574766355140187
59,300,20,10,15,0.3792834890965732
60,300,20,15,5,0.3309968847352025
61,300,20,15,10,0.3574766355140187
62,300,20,15,15,0.3792834890965732
63,300,25,5,5,0.32009345794392524
64,300,25,5,10,0.3582554517133956
65,300,25,5,15,0.37616822429906543
66,300,25,10,5,0.32009345794392524
67,300,25,10,10,0.3582554517133956
68,300,25,10,15,0.37616822429906543
69,300,25,15,5,0.352803738317757
70,300,25,15,10,0.3582554517133956
71,300,25,15,15,0.37616822429906543
72,500,10,5,5,0.3652647975077882
73,500,10,5,10,0.37383177570093457
74,500,10,5,15,0.3901869158878505
75,500,10,10,5,0.3652647975077882
76,500,10,10,10,0.37383177570093457
77,500,10,10,15,0.3901869158878505
78,500,10,15,5,0.3644859813084112
79,500,10,15,10,0.37383177570093457
80,500,10,15,15,0.3901869158878505
81,500,15,5,5,0.3372274143302181
82,500,15,5,10,0.3707165109034268
83,500,15,5,15,0.37772585669781933
84,500,15,10,5,0.3372274143302181
85,500,15,10,10,0.3707165109034268
86,500,15,10,15,0.37772585669781933
87,500,15,15,5,0.3426791277258567
88,500,15,15,10,0.3707165109034268
89,500,15,15,15,0.37772585669781933
90,500,20,5,5,0.32165109034267914
91,500,20,5,10,0.3652647975077882
92,500,20,5,15,0.3808411214953271
93,500,20,10,5,0.32165109034267914
94,500,20,10,10,0.3652647975077882
95,500,20,10,15,0.3808411214953271
96,500,20,15,5,0.34501557632398755
97,500,20,15,10,0.3652647975077882
98,500,20,15,15,0.3808411214953271
99,500,25,5,5,0.3263239875389408
100,500,25,5,10,0.3660436137071651
101,500,25,5,15,0.38006230529595014
102,500,25,10,5,0.3263239875389408
103,500,25,10,10,0.3660436137071651
104,500,25,10,15,0.38006230529595014
105,500,25,15,5,0.3512461059190031
106,500,25,15,10,0.3660436137071651
107,500,25,15,15,0.38006230529595014
